protein
P73765
P73604
P73336
P27724
P73600
P77970
P73405
P74426
P72586
P54205
P74456
P73488
P73282
P73305
P73107
P54899
P73133
P49057
P74071
P54691
P74490
Q55765
P73203
P73799
Q55604
P52981
P74410
P19125
P74233
P73911
P74789
P20804
P73762
P74463
Q59978
P73287
P26527
P73530
P73321
P73318
Q55154
Q54714
P73274
P73643
P73222
P74227
P74267
P74630
P23350
P72740
P72749
P77972
P73565
P72937
P73609
P27180
P74002
P73061
P72870
P74361
Q55756
P73314
P74344
P73283
Q01952
P72644
P73922
P54206
Q55387
P74079
P73971
P72760
P77961
P74352
P73043
P73353
P73660
Q55770
P74394
P72991
P72769
P74665
P19050
P72761
P74795
P73037
P73302
Q05971
P72781
P80046
P73048
P73463
Q55013
P74494
P73128
P54224
Q55663
P73824
P74551
P26290
P46445
P74036
P74771
P74189
Q55512
Q54715
P73057
P72940
P72655
Q55386
Q55332
Q55119
Q01951
P73458
P42352
P52983
P52231
P10549
P23349
P72673
Q55443
P77968
P73202
P72733
P74241
P74753
Q55552
Q59994
Q55356
P72777
P73120
P74236
P73945
Q55146
P74769
P21697
Q55972
P74390
P73290
Q55747
P77966
P73557
Q55385
Q55162
