uniprot_id,gene_name,log2FoldChange,padj,direction,avg_ratio,ratio_count,description_clean
P73825,thl,1.2505130488719929,8.075428057108912e-21,Upregulated,,,
Q55669,ctpA,-1.1950089642979458,8.867494646851574e-21,Downregulated,,,
P74494,ndkR,1.256520524779314,1.1089767171256791e-20,Upregulated,-0.5191974957866723,3.0,NDK_SYNY3 Nucleoside diphosphate kinase
P73317,rpl2,-1.0896232009107862,3.2814454414922055e-20,Downregulated,0.4253481729240693,3.0,RL2_SYNY3 50S ribosomal protein L2
P73547,cbiT,1.1685855155836142,3.919426626091843e-20,Upregulated,,,
P74541,sll1330,1.0995979226441166,3.979891915915933e-20,Upregulated,,,
P73494,ssr2062,-1.072113977393948,3.979891915915933e-20,Downregulated,,,
Q55943,sll0788,1.9921202426159463,1.0115962928338472e-19,Upregulated,,,
P74746,slr0600,1.0614350386963922,1.1326124343251505e-19,Upregulated,,,
P73605,slr1854,1.152565764088863,4.2348289039592074e-19,Upregulated,,0.0,P73605_SYNY3 Slr1854 protein
P73800,slr1260,1.5332232201818692,4.272420536466024e-19,Upregulated,,,
P73304,rps5,-1.009784926558011,4.272420536466024e-19,Downregulated,0.3802777030410567,3.0,RS5_SYNY3 30S ribosomal protein S5
P73703,hofG,1.3131316818197285,8.703173388125156e-19,Upregulated,,,
Q55847,sll0470,1.0234109734358203,9.287523904089546e-19,Upregulated,,0.0,Q55847_SYNY3 Sll0470 protein
Q6YRV1,sll6053,1.597205013204167,1.685854325963479e-18,Upregulated,,,
Q55661,sll0021,1.181227507546739,2.443737171287552e-18,Upregulated,,,
P74800,ssr1038,-1.2023082229585311,3.1489221209174153e-18,Downregulated,,,
P73801,slr1261,1.2759622995057265,3.403641200786013e-18,Upregulated,,0.0,Y1261_SYNY3 Uncharacterized protein slr1261
P74001,sll1239,-1.116154401142919,3.507820449343138e-18,Downregulated,,,
Q6ZED6,sll7062,-1.312313030088461,4.376528967975607e-18,Downregulated,,,
P74284,slr1687,-1.3394187388130148,4.376528967975607e-18,Downregulated,,,
Q6ZEA8,sll7090,-1.346556596364504,5.8241334763539755e-18,Downregulated,0.1167508186885291,3.0,Q6ZEA8_SYNY3 Uncharacterized protein
P73319,rpl4,-1.0202016894046655,7.91315353246161e-18,Downregulated,0.1272922481110189,3.0,RL4_SYNY3 50S ribosomal protein L4
